             0.02281              0.01820              0.09241
            -0.01775              0.03846              0.11069
             0.00956              0.06043              0.12917
             0.03173              0.08406              0.14773
             0.02970              0.10928              0.16629
             0.02900              0.13605              0.18475
             0.03522             -0.08825             -0.03578
             0.02404             -0.08513             -0.05416
             0.02252             -0.08346             -0.07072
             0.05303             -0.08306             -0.08531
            -0.02026             -0.01873              0.02874
             0.01606             -0.00055              0.04794
             0.01819              0.01950              0.06739
             0.02318              0.04136              0.08697
            -0.01511              0.06498              0.10657
             0.06446              0.09030              0.12610
             0.04854              0.11723              0.14546
             0.11604              0.14571              0.16458
            -0.06053              0.17566              0.18341
             0.00359             -0.09261              0.00211
             0.02661             -0.08355             -0.02319
             0.05044             -0.07654             -0.04734
             0.00011             -0.07154             -0.07014
            -0.01810             -0.06843             -0.09140
            -0.00594             -0.06711             -0.11091
             0.02351             -0.06739             -0.12848
             0.00962             -0.06911             -0.14395
             0.01779             -0.07203             -0.15715
            -0.03862             -0.05425             -0.03613
             0.06230             -0.03841             -0.01598
             0.09390             -0.02052              0.00451
             0.00420             -0.00063              0.02518
            -0.00837              0.02120              0.04591
             0.07594              0.04489              0.06659
             0.02420              0.07036              0.08711
             0.09092              0.09753              0.10739
             0.03249              0.12632              0.12735
             0.02330              0.15664              0.14695
             0.02861              0.18839              0.16612
            -0.03286              0.22150              0.18482
            -0.00287             -0.08899              0.00856
             0.01377             -0.07638             -0.01991
             0.02374             -0.06606             -0.04765
             0.02677             -0.05805             -0.07444
             0.01896             -0.05231             -0.10007
             0.02984             -0.04879             -0.12431
            -0.01908             -0.04737             -0.14693
             0.05434             -0.04794             -0.16770
             0.02080             -0.05033             -0.18641
            -0.02952             -0.05431             -0.20285
            -0.03105             -0.05966             -0.21685
             0.03012             -0.07491             -0.08119
            -0.01667             -0.05944             -0.05961
            -0.06061             -0.04177             -0.03777
             0.07494             -0.02197             -0.01581
             0.04601             -0.00010              0.00612
             0.09927              0.02374              0.02790
             0.03212              0.04946              0.04944
